clause_id,record_id,clause_text,evidence_start,evidence_end,is_policy_action,instrument_labels,direction,D1,D2,D3,D4,D5,D6,D7,annotator_id,annotation_status
CLAUSE_316547bef1e01fc8c1acace5,POL_EAA318BC89641917507A,严格执行国家关于差别化住房信贷政策、房地产税收政策以及境外机构和个人购买住房管理的有关规定。,264,310,,,,,,,,,,,,unlabeled
CLAUSE_620f7fa7bfe79147332364e5,POL_2357C3539A77B705AD81,严格执行国家差别化住房信贷政策和相关税收政策。,0,23,,,,,,,,,,,,unlabeled
CLAUSE_e8b25b4d49c72210d2834025,POL_2357C3539A77B705AD81,"对居民家庭贷款购买第二套住房,首付款比例不低于60%,贷款利率不低于基准利率的1.1倍。",23,67,,,,,,,,,,,,unlabeled
CLAUSE_1584ed67ced398c4705ec402,POL_2357C3539A77B705AD81,"对个人购买住房不足5年转手交易的,统一按其销售收入全额征税。",67,97,,,,,,,,,,,,unlabeled
CLAUSE_f53b596d09bd22067865c7ea,POL_2357C3539A77B705AD81,在本市市辖六区购房实行限购政策。,97,113,,,,,,,,,,,,unlabeled
CLAUSE_83e6a834df0d4221ca0c0c9d,POL_2357C3539A77B705AD81,"自本意见发布之日起,原则上对拥有一套市辖六区住房的本市居民家庭(包括购房人、配偶及未成年子女,下同)、能够提供在本市1年以上纳税证明或社会保险缴纳证明的非本市居民家庭,限购1套住房;",113,204,,,,,,,,,,,,unlabeled
CLAUSE_65e449a38ac5b98faa88fbe0,POL_2357C3539A77B705AD81,"对已拥有2套及以上市辖六区住房的本市居民家庭、拥有1套及以上本市市辖六区住房的非本市居民家庭和无法提供在本市1年以上的纳税证明或社会保险缴纳证明的非本市居民家庭,暂停在本市市辖六区内向其售房。",204,300,,,,,,,,,,,,unlabeled
CLAUSE_8a8b56825dd367aa6069b347,POL_6177B1BC38CFA66EC091,"各商业银行要严格执行国家有关规定,对贷款购买商品住房的家庭(包括购房人、配偶及未成年子女,下同),首付款比例调整到30%及以上;",0,64,,,,,,,,,,,,unlabeled
CLAUSE_096cc67d47cef2fec67c8810,POL_6177B1BC38CFA66EC091,"贷款购买第二套住房的,严格执行首付款比例不低于50%、贷款利率不低于基准利率1.1倍的规定;",64,110,,,,,,,,,,,,unlabeled
CLAUSE_5c5645d2c6fdfc0f3aa61a0a,POL_6177B1BC38CFA66EC091,"购买第三套及以上住房的,暂停发放贷款。",110,129,,,,,,,,,,,,unlabeled
